sample,cksum
isldas_federico_hands-clap_586.p,d334353b495f41b2e6c8cdfaacb5fad8
ixmas_hedlena1_wave1_808-30-59.p,808fdfea28b48c728b22614ac97a75a8
kth_person04_box_417-270-299.p,bc1eac1af7cda029cc43b020d5849d1d
kth_person11_wave2_561-450-474.p,c688d96fd33b8e196bf96d888882bbac
kth_person07_walk_422-338-367.p,140f09b06cf32246e7ece61015840632
isld_jiawei_wave1_547-0-29.p,c959076980fb2954b0a1e5bc826856c8
kth_person04_wave2_476-330-359.p,15c7c8ab561f5fd56c3083fa7ff42e10
kth_person23_run_361-48-113.p,8d50f536397b630bda81f09c5fbf0a30
kth_person02_walk_125-112-141.p,f9cf20f83f8cc5d16516dc77aa1dc0db
kth_person11_walk_401-553-621.p,a436364e69c889feb3b7eeb8d89fb13f
kth_person08_walk_435-677-706.p,2f88edf1e91690775030abc71e826dc2
kth_person23_box_59-390-419.p,cd8634f3c3a9748ba1beb9110b7c6607
isld_zeyu_standing_648-0-29.p,8047451d3bc1bf4c8ef6e6574693d914
ixmas_hedlena3_wave1_1000-30-59.p,a92cfc57a20b9bf0b58d0e752f858f34
kth_person19_wave2_322-390-419.p,07b7321a800bd416b521165e0a634386
ixmas_clare1_pick-up_244-30-59.p,393b38d8759357ad145aa07058011185
kth_person13_hands-clap_496-180-209.p,8fe4e9d74a801331bf78bbdc396e56b0
kth_person01_box_77-120-149.p,51303f53fa44eb140c42b69393ac611d
utkinect_s01_walk_e01_0-1016-1242-0-29.p,bd24f187fd518bbf6af6d490f2e6b766
kth_person06_jog_58-203-232.p,8f73d1c6b8f33b45eb9c206d751bd261
isld_federico_hands-clap_33-0-29.p,3f1b9d5ff97b8b648540154abb1df0f7
kth_person02_run_82-33-120.p,a99b63b45686088b5f5efb7d1afb83e5
ixmas_hedlena2_get-up_484-33-62.p,de0f6d694957b92296bb58d279f901a2
i3dpost_jean_pjump_80-0-29.p,414f0cf1ced33aed57e810e4c0d382cd
kth_person10_hands-clap_198-240-269.p,8ab23dab5ea1dacaa7c55ac7083ff4b9
isldas_federico_point_1473.p,eb83551c6c6b9bb774187c6bed4802e5
ixmas_julien1_turn_417-30-59.p,d262878de6a4d260a054cc941a1ba7bc
i3dpost_jon_jump_134-41-70.p,19089ba606baaeda8a841ded24e069c6
ixmas_florian1_check-watch_831-30-59.p,71be14f2b925fe8613b8c59f11172241
kth_person19_wave2_137-570-599.p,6212eff507b38decb90b067e91ef5fbd
kth_person18_walk_116-36-65.p,5f28b31e545d57d5b765564bda689aa0
kth_person24_hands-clap_302-240-269.p,f75449b0b788183e43dd5c600e701469
kth_person05_hands-clap_316-270-299.p,04f5a594f75cff2073669e84717ca6b7
kth_person16_box_583-510-529.p,86ec5d5159187d23c41e7321786dfeb2
ixmas_chiara2_walk_593-0-29.p,c5b0ab8a7b8b0642c125da6bd33f45fc
kth_person24_wave2_61-450-479.p,c5044da2f9face9e2f2e05adccb9f04c
isld_zaid_standing_384-0-28.p,a6b2e5c912796d1e95ad1b1c0f8c1ac3
kth_person02_jog_423-233-262.p,c95dcce59fe8b7c12711c43e9bb39378
ixmas_alba3_walk_377-0-29.p,844df46494ba0f6a801f83d2944ceedb
kth_person20_wave2_166-120-149.p,25399059758132f1544c391c5656ce58
kth_person12_wave2_347-540-569.p,0a1f10df3b64215db701c7ca6abe6591
kth_person21_jog_138-4-33.p,13d927cd5408540d29fc33d44e4a1bd1
ixmas_alba3_turn_274-90-119.p,7e60a5c1cbe588503e2244f286a2329e
ixmas_clare2_check-watch_1309-30-59.p,60df120bfbc0d2ff48af48b8acdfe8ba
isldas_federico_kick_1580.p,d4e612d3794ac5250b0b803cd2ce32c8
kth_person12_jog_68-38-67.p,3994a86f73e150ee6949d0ee8d3538d8
kth_person08_wave2_582-30-59.p,fa75b030d02b6a7049418de8aaf8bb0e
ixmas_alba2_turn_206-0-29.p,b3598f1d9f4ae30c8655a248775defbf
ixmas_nicolas2_wave1_784-30-59.p,f93a16b74250c7cc100e10d883f0f724
kth_person12_wave2_478-330-359.p,7f1dcb3d8a2d710d731cdb0938ea4507
i3dpost_haidi_walk_5-20-49.p,12c9ca9b37cc783aa45ad28f9c8d2c0b
i3dpost_haidi_run_43-23-52.p,0bc9513891c8cbff6c259cf758cc5ffc
kth_person21_walk_294-386-533.p,6e15ce530e268c154c604ad2b17c721d
i3dpost_jean_jump_61-30-59.p,091b85e8b0e8fd20df104231497177fc
isldas_federico_wave1_835.p,3af506a345925a8d6da5128cdcf2ad09
kth_person06_hands-clap_528-30-59.p,3132f63720d58bdb2cb41a76cf917ffc
