sample,cksum
i3dpost_chris_bend_177-0-29.p,6fef208ab1cae114c6c604dc5a238a8c
i3dpost_chris_bend_177-30-59.p,a6120483b4229af1ebc936cc4563ce70
i3dpost_chris_bend_177-60-89.p,9a18cf0b18f2092d897ab76c76df0cf4
i3dpost_chris_bend_178-0-29.p,9dc5128003a616c7747d8201390fbdea
i3dpost_chris_bend_178-30-59.p,4a194fc2306967d6726a5bea2380a229
i3dpost_chris_bend_178-60-89.p,3ea5930019bdaa2e877eebf77de3f8c1
i3dpost_chris_bend_179-0-29.p,e52606e19947b5807d2a081ccee2f54b
i3dpost_chris_bend_179-30-59.p,3c9b5f249c8d7cd646eaeb8a7b2d8da7
i3dpost_chris_bend_179-60-89.p,e6306d16443b4548fa30b86eecbb2bae
i3dpost_chris_bend_180-0-29.p,9b17e17eebac4e9afb1ec39d4a694678
i3dpost_chris_bend_180-30-59.p,9dbdb42facb2837659f78e8e18151cfd
i3dpost_chris_bend_180-60-89.p,f57913e274ebcdd673421069c8b70f96
i3dpost_chris_bend_180-90-119.p,022c6d8b8dfe1be5107bc0ff12689083
i3dpost_chris_bend_181-0-29.p,84c06300c34ea4bbf2ab4cee8e7d90a1
i3dpost_chris_bend_181-30-59.p,b12f3c31b4a21c197e30b9c4a454f63c
i3dpost_chris_bend_181-60-89.p,0cebd875aa189377ea09a0a016e052e0
i3dpost_chris_bend_182-0-29.p,155d1c2dc8937ae516bb51af790714af
i3dpost_chris_bend_182-30-59.p,79dd4d0c5648f77145e60ed82869eddc
i3dpost_chris_bend_182-60-89.p,b786cfd874bd8f9229527a25a0d8580b
i3dpost_chris_bend_183-0-29.p,15778f7505dc1b0223661f7f0b6a6124
i3dpost_chris_bend_183-30-59.p,5f3c477b0d58485f56af0c9269e8de06
i3dpost_chris_bend_183-60-89.p,ecbae975f3805c406ee8d2937fd77926
i3dpost_chris_bend_184-0-29.p,ae715a8324e18aae3c363f45346d1768
i3dpost_chris_bend_184-30-59.p,60bba3e79870b3e005f92a22957116e9
i3dpost_chris_bend_184-60-89.p,694d4238bf82c85b3931966d3b533cb5
i3dpost_chris_jog_187-0-29.p,6200414506c2f8aa624163681e3d27c1
i3dpost_chris_jog_190-0-29.p,22f218541a9b30be4145b186f9c501c4
